Page Number,Type,Text,Confidence Score % (Line)
7,LINE,3,99.73%
7,LINE,MUC ĐÍCH CÚA KHÁCH HANG TRONG MÓI QUAN HE VÓI VPBANK*:,82.9%
7,LINE,"Su dung dich vu thu, chi hô",91.79%
7,LINE,"Thanh toán, chuyen tiên, kinh doanh trong nuóc",94.08%
7,LINE,"Thanh toán, chuyen tiên, kinh doanh quôc tê",86.35%
7,LINE,Quan lý dòng tiên,88.3%
7,LINE,Các muc dích khác phuc vu cho hoat dông vân hành tô chúc,95.87%
7,LINE,Khác;,93.07%
7,LINE,4,99.5%
7,LINE,Khách hàng có phái là nguòi nhân uy thác (bao gôm cá viêc nhân uy thác tù uy thác nuóc ngoài) hoãc là bên,87.25%
7,LINE,nhân uy quyên theo các thoa thuân pháp lý¹⁴ không? *,92.12%
7,LINE,Không,88.73%
7,LINE,"Có, vui lòng cung câp thông tin bô sung theo mâu biêu cúa VPBank.",89.24%
7,LINE,14 Thóa thuân pháp lý bao gôm các thoa thuân duoc thiêt lâp bang văn bån giûa tô chúc và cá nhân trong và ngoài nuóc vê uy,87.98%
7,LINE,"thác, uy quyên dôi vói viêc quån lý và su dung tiên, tài sån.",84.25%
7,LINE,MB01D.QD-GDTC/62,68.69%
7,LINE,7,99.34%
8,LINE,VIII. UY QUYÈN CÚA CHU TÀI KHOAN VÀ CÚA KÉ TOÁN TRUÖNG/PHU TRÁCH KÉ TOÁN*,80.13%
8,LINE,1.,99.62%
8,LINE,Uy quyên cúa Chú tài khoån:,70.78%
8,LINE,"Bang văn bån này, Chu tài khoån - [Tên Khách hàng",85.35%
8,LINE,uy quyên cho Dai diên theo uy quyên duoc thay măt Chu tài khoån thuc hiên các giao dich liên quan dên viêc,90.9%
8,LINE,"mo, sú dung, quan lý tài khoån thanh toán cua Công ty (sau dây goi tat là ""TKTT"") duoc mo theo Giay dê",83.9%
8,LINE,"nghi này; Giây dê nghi mo thêm tài khoån, Giay dê nghi súa dôi thông tin và/hoac bât ky văn bån nào cúa",83.75%
8,LINE,"Chúng tôi trong dó dân chiéu viêc áp dung uy quyên này, bao gôm các công viêc sau:",90.75%
8,LINE,"1.1. Thuc hiên ký kêt, xác nhân các Hop dong, văn bån, chúng tù sau day (bao gôm các văn bån/phu luc súa dôi,",88.56%
8,LINE,"bô sung, huy bo liên quan dên các Hop dông, văn bån, chúng tù này) phát sinh tù và/hoac liên quan dên viêc",93.15%
8,LINE,"su dung, quan lý TKTT duoc mo tai VPBank, bao gôm nhung không giói han:",86.87%
8,LINE,"(i) Các Hop dong, văn bån, chúng tù/lênh thanh toán theo quy dinh cua VPBank dê nôp tiên, rút tiên măt,",90.22%
8,LINE,dê nghi thuc hiên cung úng dich vu thanh toán trong nuóc và quôc tê nhu cung úng phuong tiên thanh,90.48%
8,LINE,"toán qua TKTT, thuc hiên dich vu thanh toán séc, Lênh chi, Uy nhiêm chi, Nhò thu, Uy nhiêm thu,",96.8%
8,LINE,"Chuyên tiên, Thu hô, Chi hô và các dich vu gia tăng khác phù hop vói quy dinh pháp luât hiên hành.",94.02%
8,LINE,"(ii) Các Hop dong, văn bån, chúng tù theo quy dinh cúa VPBank dê quan lý TKTT bao gom nhung không",88.68%
8,LINE,giói han nhu văn bån Dê nghi xác nhân sô du TKTT; Tam khóa TKTT; Phong toa TKTT; Châm dút tam,95.65%
8,LINE,khóa TKTT; Giai toa TKTT; Dóng TKTT; Dê nghi cung câp thông tin; Súa dôi thông tin TKTT; Dê,88.66%
8,LINE,nghi tra soát khiêu nai và các văn bån khác liên quan dên su dung quan lý TKTT.,88.38%
8,LINE,"(iii) Các Hop dông, văn bån, chúng tù theo quy dinh cúa VPBank dê tham gia, su dung tât cå các Sån",87.66%
8,LINE,"phâm/Dich vu thông qua TKTT, bao gôm nhung không giói han nhu Dich vu sô phu tài khoan/nhân hóa",95.21%
8,LINE,don; Dich vu SMS Banking/VPBank SMS; Yêu câu sô séc; Dich vu internet banking/VPBank online;,96.69%
8,LINE,Dich vu the ngân hàng (The ghi no); Dich vu trå luong qua tài khoån; Dich vu nôp thuê diên tů; Dich vu,92.62%
8,LINE,"thu hô, chi hô và các San phâm/Dich vu khác thông qua TKTT.",95.24%
8,LINE,"(iv) Các Hop dong, văn bån, chúng tù theo quy dinh cúa VPBank dê tham gia, su dung các San phâm/Dich",89.07%
8,LINE,"vu liên quan dên Tài tro thuong mai do VPBank cung cap thông qua TKTT, bao gôm nhung không giói",95.4%
8,LINE,"han Sån phâm/Dich vu L/C thu tín dung (L/C trå ngay, L/C trå châm, L/C UPAS, L/C xuât khau và",93.89%
8,LINE,"các loai L/C khác), Nhò thu xuat/nhap khau",86.74%
8,LINE,"1.2. Thuc hiên ký kêt, xác nhân các Hop dông, van bån, chúng tù (bao gôm các văn bån/phu luc súa dôi bô sung,",86.89%
8,LINE,"huy bo liên quan dên Hop dong, văn bån, chúng tù này) theo quy dinh cúa VPBank dê tham gia, su dung các",90.1%
8,LINE,"Sån phâm/Dich vu Tiên gui, Chúng chi tiên gúi, Ky phiéu, Trái phiéu, mua bán Giay tò có giá, Ngoai hôi",84.19%
8,LINE,"(giao dich ngoai tê, hoán dôi lãi suât, phái sinh lãi suât, vàng...), Giao dich qua fax, Giao dich qua email,",95.51%
8,LINE,"Dich vu thu hô, Dich vu chi hô.",98.97%
8,LINE,"1.3. Khi thuc hiên ký kêt, xác nhân các Hop dong, văn bån, chúng tù nêu trên, Dai diên theo uy quyên duoc toàn",91.5%
8,LINE,"quyên thoa thuân/quyêt dinh các vân dê liên quan nhu phí su dung, phí quan lý, phí duy trì, lãi suât, ty giá,",87.36%
8,LINE,"phat vi pham, chi dinh nguòi su dung Sån phâm/Dich vu (dói vói Sån phâm/Dich vu mà trong Hop dông có",89.44%
8,LINE,"nôi dung thoa thuân vê nguòi sú dung nhu Dich vu VPBank Online/The ghi no...), quyên và nghîa vu và các",89.66%
8,LINE,"vân dê khác phát sinh tù hoãc có liên quan dên viêc mo, su dung, quan lý TKTT tai VPBank và tham gia su",89.49%
8,LINE,"dung các Sån phâm/Dich vu do VPBank cung câp nhu nêu trên, bao gôm cå quyên duoc thuc hiên súa dôi/bô",87.56%
8,LINE,"sung/thay dôi nôi dung cúa bât ky Hop dông, văn bån, chúng tù dó.",89.38%
8,LINE,"1.4. Duoc giao nhân Hop dong, văn bån, chúng tù nhu nêu trên vói dai diên VPBank dong thòi duoc chi dinh",93.44%
8,LINE,"Nguròi giao nhân Hop dông, văn bån, chúng tù này vói dai diên VPBank; Duoc thuc hiên các công viêc khác",91.72%
8,LINE,"theo quy dinh cúa VPBank liên quan dên viêc mo, quan lý và sú dung TKTT theo quy dinh pháp luât.",90.48%
8,LINE,1.5. Dai diên theo uy quyên duoc su dung con dâu theo dăng ký tai văn bån này dê dóng vào phân chû ký cúa,86.14%
8,LINE,"Chu tài khoån trong các Hop dông, văn bån, chúng tù nêu trên.",88.4%
8,LINE,1.6. Dai diên theo uy quyên thuc hiên theo dúng nôi dung uy quyên và không duoc phép uy quyên lai cho nguòi,93.4%
8,LINE,khác ngoai trù truong hop duoc quy dinh khác trong văn bån uy quyên này.,91.44%
8,LINE,"1.7. Viêc huy bo, thay thê uy quyên sú dung tai văn bån nay (nêu có) không làm châm dút trách nhiêm cúa pháp",85.99%
8,LINE,"nhân uy quyên dôi vói các giây tò, giao dich do Dai diên theo uy quyên dã xác lâp vói VPBank.",93.05%
8,LINE,1.8. Uy quyên này có hiêu luc kê tù ngày Chúng tôi duoc VPBank châp thuân các nôi dung theo Giay dê nghi mo,90.54%
8,LINE,và su dung TKTT Khách hàng tô chúc này tai Muc B Phân dành cho VPBank duói dây cho dên khi,92.65%
8,LINE,VPBank nhân duoc văn bån huy bő/thay thê cúa Chu tài khoån và nhûng thay dôi này dã duoc VPBank châp,81.12%
8,LINE,thuân.,94.75%
8,LINE,2. Uy quyên cúa Ké toán truông/Phu trách ké toán:,84.93%
8,LINE,"Bang văn bån này, Kê toán truong/Phu trách kê toán uy quyên cho Nguròi duoc uy quyên duoc thay măt Kê toán",87.65%
8,LINE,MB01D.QF-GDTC/62,38.66%
8,LINE,8,99.1%
9,LINE,truong/Phu trách kê toán thuc hiên các công viêc sau dây:,90.69%
9,LINE,2.1. Nguròi duoc uy quyên cua Kê toán truong/Phu trách kê toán duoc thay măt Kê toán truong/Phu trách kê toán,85.77%
9,LINE,ký vào phân chû ký trên các văn bån giao dich liên quan dên TKTT trong pham vi duoc uy quyên.,94.9%
9,LINE,"2.2. Vói tu cách là Nguròi duoc uy quyên boi Kê toán truong/Phu trách kê toán, Nguòi duoc uy quyên duoc thuc",86.83%
9,LINE,hiên toàn bô các quyên dong thòi có trách nhiêm thuc hiên dây du các nghîa vu cúa Kê toán truong/Phu,84.25%
9,LINE,trách kê toán theo quy dinh cúa pháp luât.,90.87%
9,LINE,"2.3. Trong quá trình thuc hiên các công viêc duoc uy quyên, Nguròi duoc uy quyên phåi tuân thu các quy dinh",84.97%
9,LINE,pháp luât có liên quan và không duoc uy quyên lai cho nguòi khác thuc hiên các công viêc duoc uy quyên.,92.43%
9,LINE,"2.4. Viêc huy bô, thay the uy quyên sú dung tai văn bån này (nêu có) không làm châm dút trách nhiêm cúa",80.86%
9,LINE,"Nguròi uy quyên dôi vói các giây tò, giao dich do Nguròi duoc uy quyên dã xác lâp vói VPBank.",88.39%
9,LINE,2.5. Uy quyên này có hiêu luc kê tù ngày Chúng tôi duoc VPBank châp thuân tai Muc B - Phân dành cho,91.94%
9,LINE,VPBank duói dây cho dên khi VPBank nhân duoc văn bån huy bő/thay thê cúa Nguròi uy quyên và nhûng,82.46%
9,LINE,thay dôi này dã duoc VPBank châp thuân.,89.83%
9,LINE,"3. Cam kêt úy quyên Chu tài khoån, Ké toán truöng/Phu trách kê toán",78.09%
9,LINE,"Chu tài khoån, Kê toán truong/Phu trách kê toán chiu trách nhiêm truóc pháp luât vê moi cam kêt, giao dich do",88.72%
9,LINE,Nguròi duoc uy quyên thuc hiên trong pham vi uy quyên và xác nhân:,87.51%
9,LINE,(i) Dã hiêu rõ răng nôi dung uy quyên tai văn bån này là rât rông;,82.34%
9,LINE,"(ii) Dã hiêu rõ quyên, nghîa vu, loi ích cua mình và hâu quå pháp lý cua viêc uy quyên;",84.59%
9,LINE,"(iii) Dong ý vói moi nôi dung uy quyên tai văn ban này và không có bât ky khiêu nai, khiéu kiên, tranh chap nào",83.81%
9,LINE,dôi vói VPBank liên quan dên viêc VPBank thuc hiên các giao dich do Nguròi duoc uy quyên/Nguròi duoc uy,91.32%
9,LINE,quyên lai xác lâp.,91.74%
9,LINE,"IX. ĐĂNG KÝ NGU'ÒI GIAO NHAN HO'P ĐÒNG, VĂN BÅN, CHÚNG TÙ VÀ HÌNH THÚC NHÂN",73.7%
9,LINE,GIAY DE NGH! KIEM HOP DONG TU VPBANK (Tích vào ô dê lua chon)*,93.79%
9,LINE,"Đăng ký nguòi giao nhân Hop dông, văn bån, chúng tù Khách hàng giao dich vói VPBank",91.31%
9,LINE,1.,99.57%
9,LINE,là can bô duoc chi dinh (i) theo các văn bån (Giay giói thiêu/Thông báo/Văn bån úy,84.93%
9,LINE,quyên...) và (ii) cán bô duoc dăng ký nhu duói:,89.28%
9,LINE,1.1. Ho và tên:,91.4%
9,LINE,Chúc vu:,81.07%
9,LINE,Dien thoai:,78.53%
9,LINE,Email:,99.95%
9,LINE,So CMND/H₀ chiéu/The CCCD:,55.97%
9,LINE,Ngày câp:,81.62%
9,LINE,Noi câp,89.3%
9,LINE,Dia chi:,90.94%
9,LINE,1.2. Ho và tên:,91.35%
9,LINE,Chúc vu:,85.33%
9,LINE,Dien thoai:,82.23%
9,LINE,Email:,99.87%
9,LINE,Sô CMND/Hô chiéu/The CCCD:,61.86%
9,LINE,Ngày cap:,77.98%
9,LINE,Noi câp,81.93%
9,LINE,Dia chi:,93.95%
9,LINE,Chi thi dãc biêt (nêu có):,85.69%
9,LINE,"Ghi, chú: Truong hop Khách hàng lua chon Phuong thúc uy quyên theo Văn ban uy quyên riêng (không tích hop uy quyên tai",89.47%
9,LINE,"Giây dê nghi này) thì viêc giao nhân các Hop dông, văn bån, chung tù nhu nêu tai Muc VIII vân duoc áp dung",92.27%
9,LINE,"2. Đāng ký hình thúc nhân Giay dê nghi kiêm Hop dong này tù VPBank sau khi dai diên VPBank ký, dóng dâu",89.72%
9,LINE,vào Muc B - Phân dành cho VPBank duói dây,93.77%
9,LINE,2.1,99.92%
9,LINE,"Giay dê nghi kiêm Hop dông này duoc lâp thành 01 (môt) bån gôc, Khách hàng dê nghi VPBank",87.52%
9,LINE,giû 01 (môt) bån gôc và gúri cho Khách hang 01 (môt) bån sao.,89.94%
9,LINE,2.2,99.96%
9,LINE,"Giay dê nghi kiêm Hop dông này duoc lâp thành 02 (hai) bån gôc, VPBank giû 01 (môt) bån gôc",86.66%
9,LINE,và gúri cho Khách hàng 01 (môt) bån gôc.,89.32%
9,LINE,X. XÁC NHÂN CÚA KHÁCH HÀNG:,84.05%
9,LINE,1.,99.64%
9,LINE,"Chúng tôi dông ý mo, su dung TKTT dã duoc mo tai VPBank, thuc hien duy trì và tuân thu các quy dinh",89.25%
9,LINE,"vê quån lý, sú dung TKTT cúa VPBank trong tùng thòi ky.",86.39%
9,LINE,2.,99.69%
9,LINE,"Chúng tôi xác nhân dã nhân, doc và duoc tu vân giåi thích day du nôi dung cúa Giây dê nghi kiêm Hop",88.25%
9,LINE,"dông mo và sú dung tài khoan thanh toán, Ban Diêu kiên giao dich chung vê mo và su dung tài khoan",82.09%
9,LINE,thanh toán Khách hàng là tô chúc (Áp dung cho Khách hàng tô chúc mo và su dung TKTT thông qua Chi,89.5%
9,LINE,MB01D.Q¥-GDTC/62,29.91%
9,LINE,9,99.52%
10,LINE,nhánh/VPDD) và Diêu khoan và Diêu kiên vê tuân thu dao luât FATCA dành cho Khách hàng tô chúc,88.95%
10,LINE,"duoc VPBank công bô trên website http://www.vpbank.com.vn, tai tru so dia diêm kinh doanh, phân mêm",91.46%
10,LINE,"úng dung giao dich truc tuyên trên Internet, diên thoai di dông (nêu có) cúa VPBank. Bån Diêu kiên giao",88.49%
10,LINE,dich chung duoc coi là Phu luc không tách ròi cúa Giay dê nghi kiêm Hop dong mo và su dung tài khoan,85.16%
10,LINE,"thanh toán này. Chúng tôi hoàn toàn dông ý vói các diêu khoån, diêu kiên này, bao gôm cá biêu phí dich",90.06%
10,LINE,"vu cúa VPBank. Chúng tôi hiêu ràng chính sách vê mo, quån lý, sú dung tài khoån và biêu phí dich vu do",86.73%
10,LINE,VPBank cung câp có thê duoc thay dôi trong tùng thòi ky và nhûng thay dôi này sê ràng buôc Chúng tôi.,86.51%
10,LINE,Chúng tôi dông ý ràng VPBank có thê thông báo cho Chúng tôi vê nhûng thay dôi nay băng môt trong các,86.93%
10,LINE,phuong thúc liên hê do VPBank triên khai tùng thòi ky bao gôm nhung không giói han môt trong các,94.1%
10,LINE,"phuong thúc sau: goi diên thoai; gúri tin nhãn SMS hoãc gui email theo sô diên thoai, dia chi email cúa",86.63%
10,LINE,Chúng tôi hoãc cúa Dai diên theo pháp luât/Dai diên theo uy quyên cúa Chúng tôi theo dăng ký tai Giây,87.03%
10,LINE,dê nghi này; niêm yêt tai tru so dia diêm kinh doanh hoãc thông báo trên website chính thúc cúa VPBank,91.5%
10,LINE,"(website: www.vpbank.com.vn). Dôi vói các nôi dung VPBank thông báo cho Chúng tôi bang văn bån,",92.29%
10,LINE,Chúng tôi hiêu răng văn bån có thê duoc VPBank lâp và gúri bang bån giây hoãc bang các thông diep dû,82.53%
10,LINE,liêu qua tin nhãn SMS hoãc email cho Chúng tôi.,91.88%
10,LINE,3.,99.79%
10,LINE,Chúng tôi cam kêt rang:,87.14%
10,LINE,"(i) Moi thông tin Chúng tôi cung câp là chính xác, day dů, chân thuc.",89.33%
10,LINE,(ii) Dông ý dê VPBank xác thuc các thông tin trên tù bât ky nguôn nào mà VPBank có duoc.,91.7%
10,LINE,(iii) Mâu dâu duoc dăng ký tai Giay dê nghi kiêm Hop dong mo và su dung TKTT Khách hàng tô chúc,81.8%
10,LINE,(Áp dung cho Khách hang tô chúc mo và sú dung TKTT thông qua Chi nhánh/VPDD) này dã duoc,87.57%
10,LINE,câp có thâm quyên phê duyêt hop lê theo quy dinh nôi bô cúa Chúng tôi. Chúng tôi cam kêt chiu moi,93.1%
10,LINE,"trách nhiêm vê tính trung thuc, chính xác, hop pháp, phù hop thuân phong my tuc, văn hóa, khå nãng",91.89%
10,LINE,gây nhâm lan cúa con dâu và tranh châp phát sinh do viêc quan lý và su dung con dâu.,85.46%
10,LINE,"(iv) Cho muc dích tuân thu quy dinh pháp luât; muc dích xây dung, hoàn thiên, phát triên các sån phâm,",92.54%
10,LINE,"dich vu và thuc hiên các hoat dông kinh doanh, hoat dong hop pháp khác cúa VPBank; và/hoac muc",92.14%
10,LINE,"dích tao diêu kiên dê Chúng tôi có the tiép cân và su dung da dang các sån phâm, dich vu do VPBank",89.64%
10,LINE,"hoãc các bên liên quan, các dôi tác khác cung cap, Chúng tôi dông ý ràng VPBank có thê su dung các",85.02%
10,LINE,"thông tin cá nhân cua Chúng tôi, thông tin tù các văn bån, tài liêu do Chúng tôi cung câp và thong tin",91.06%
10,LINE,các giao dich cúa Chúng tôi tai VPBank dê cung câp cho (i) các co quan có thâm quyên yêu câu cung,91.63%
10,LINE,câp thông tin theo quy dinh cúa pháp luât; (ii) các don vi có chúc nãng cung câp dich vu thông tin tín,90.96%
10,LINE,"dung, dánh giá tín nhiêm, kiêm toán; (iii) các công ty con, công ty liên kêt, công ty thành viên cúa",94.41%
10,LINE,"VPBank; (iv) các dôi tác kinh doanh, dôi tác liên quan có hop tác vói VPBank dê phát triên, cung câp",92.17%
10,LINE,"hoãc liên quan tói viêc phát triên, cung câp các sån phâm, dich vu cúa VPBank; (v) các dai lý, nhà thâu",89.63%
10,LINE,"hay các nhà cung câp hàng hóa, dich vu có ký kêt hop dông, thoa thuân vói VPBank liên quan tói các",93.31%
10,LINE,"hoat dông cúa VPBank và/hoac (vi) các bên liên quan khác mà VPBank thay là cân thiêt dê dáp úng,",89.98%
10,LINE,bão vê quyên và loi ích hop pháp cúa Chúng tôi.,90.73%
10,LINE,(v) Chúng tôi sê thông báo cho VPBank trong vòng 30 ngày nêu có bât ky thay dôi nào dôi vói thông tin,91.1%
10,LINE,mà chúng tôi dã cung câp cho VPBank và mien trù trách nhiêm cua VPBank trong moi truong hop nêu,91.2%
10,LINE,Chúng tôi châm trê trong viêc không thuc hiên theo dúng cam kêt này.,92.65%
10,LINE,(vi) Nham dåm bão duoc cung câp thông tin kip thòi trong quá trình su dung sån phâm/dich vu cúa,85.39%
10,LINE,"VPBank, bang viêc khai báo các thông tin nêu trên và ký vào Giay dê nghi kiêm Hop dong mo và sú",89.56%
10,LINE,dung TKTT Khách hàng tô chúc (Áp dung cho Khách hàng tô chúc mo và sú dung TKTT thông qua,89.58%
10,LINE,"Chi nhánh/VPDD) này, Chúng tôi xác nhân dông ý nhân thông tin, thông báo (bao gôm cå thông tin",90.62%
10,LINE,"quang cáo, khuyên mai) vê các sån phâm, dich vu, uu dãi, chuong trình, hoat dông, cúa VPBank",87.49%
10,LINE,"thông qua tin nhãn, thu diên tů, cuôc goi diên thoai và các phuong tiên khác duoc VPBank triên khai",90.6%
10,LINE,"tùng thòi ky. Nêu tù chôi nhân các thông tin nêu trên, Chúng tôi sê goi dên hotline 1900545415 hoãc",91.97%
10,LINE,theo các phuong thúc khác duoc VPBank thông báo tùng thòi ky trên website chính thúc cua VPBank.,91.01%
10,LINE,(vii) Bang viêc ký trên Giay dê nghi kiêm Hop dong mo và su dung TKTT Khách hàng tô chúc (Áp,85.43%
10,LINE,"dung cho Khách hàng tô chúc mo và sú dung TKTT thông qua Chi nhánh/VPDD) này, Dai diên theo",88.12%
10,LINE,"pháp luât, Dai diên theo uy quyên cúa Chu tài khoån, Kê toán truong/phu trách kê toán, Nguròi duoc uy",84.54%
10,LINE,quyên boi Kê toán truong/phu trách kê toán cam kêt dong ý tuân thu các nôi dung tai Bån Diêu kiên,87.21%
10,LINE,giao dich chung vê mo và sú dung tài khoan thanh toán (Ap dung Khách hàng tô chúc) và Diêu khoan,87.89%
10,LINE,và Diêu kiên vê tuân thu dao luât FATCA dành cho Khách hàng tô chúc duoc VPBank công bô trên,93.8%
10,LINE,website http://www.vpbank.com.vn. Bån Diêu kiên giao dich chung và Diêu khoan và Diêu kiên vê tuân,91.31%
10,LINE,MB01D.QF-GDTC/62,36.58%
10,LINE,10,98.56%
11,LINE,thu dao luât FATCA dành cho Khách hàng tô chúc duoc coi là Phu luc không tách ròi cúa Giay dê nghi,90.1%
11,LINE,kiêm Hop dông mo và sú dung tài khoan thanh toán này.,84.51%
11,LINE,", ngày",94.03%
11,LINE,tháng,98.81%
11,LINE,năm,90.7%
11,LINE,KÉ TOÁN TRUÖNG/PHY TRÁCH KÉ TOÁN,86.04%
11,LINE,CHU TÀI KHOAN,71.27%
11,LINE,(Ky và ghi rõ ho tên),94.65%
11,LINE,DAI DIÊN THEO PHÁP LUÂT,88.75%
11,LINE,"(Ky và ghi rõ ho tên, dóng dau)",89.71%
11,LINE,B- PHÂN DÀNH CHO VPBANK:,90.02%
11,LINE,Ngân hàng TMCP Viêt Nam Thinh Vuong - Chi nhánh,92.05%
11,LINE,(VPBank),99.8%
11,LINE,-,89.28%
11,LINE,Dia chi:,93.45%
11,LINE,-,88.92%
11,LINE,Diên thoai:,89.13%
11,LINE,Fax:,99.62%
11,LINE,"Sau khi kiêm soát và xác dinh Hô SO mo tài khoån thanh toán cúa Khách hàng là dây du và hop lê,",87.48%
11,LINE,"VPBank dong ý mo Tài khoån thanh toán cho Khách hàng, cu thê:",89.25%
11,LINE,Mã Khách hàng (CIF):,95.63%
11,LINE,Loai Tiên,96.47%
11,LINE,Sô Tài khoån,73.44%
11,LINE,Ngày băt dâu hoat dong,78.67%
11,LINE,VND,99.99%
11,LINE,USD,100.0%
11,LINE,Dông tiên khác/other:,77.74%
11,LINE,Xác nhân cúa VPBank vê trang thái FATCA cúa Khách hàng là tô chúc phi tài chính:,91.65%
11,LINE,Tô chúc phi tài chính là Nguròi Hoa Ky,84.15%
11,LINE,To chúc phi tài chính là Nguròi Hoa Ky xác dinh,85.59%
11,LINE,To chúc phi tài chính chông dôi là nguòi Hoa Ky,84.37%
11,LINE,To chúc phi tài chính nuóc ngoài chu dông,84.51%
11,LINE,Tô chúc phi tài chính nuóc ngoài bi dông không có cá nhân có quyên kiêm soát là nguòi Hoa Ky,90.23%
11,LINE,To chúc phi tài chính nuóc ngoài bi dông có cá nhân có quyên kiêm soát là nguòi Hoa Ky,89.41%
11,LINE,Tô chúc phi tài chính nuóc ngoài bi dông chông dôi.,84.51%
11,LINE,Tô chúc phi tài chính chông dôi không có dau hiêu Hoa Ký (Chi áp dung cho Khách hàng mo CIF,83.94%
11,LINE,truóc 02/4/2016),90.65%
11,LINE,Tô chúc phi tài chính chông dôi có dâu hiêu Hoa Ky (Chi áp dung cho Khách hàng mo CIF truóc,83.74%
11,LINE,MB01D.QD-GDTC/62,85.31%
11,LINE,11,99.53%
12,LINE,02/4/2016),99.73%
12,LINE,"Các thông tin yêu câu kiêm tra dã duoc hoàn thiên boi Khách hang và thông tin dã cung câp là chính xác,",90.42%
12,LINE,dây du và câp nhât.,85.31%
12,LINE,", ngày",96.78%
12,LINE,tháng,98.77%
12,LINE,năm,86.3%
12,LINE,Chuyên viên Dich vu,95.39%
12,LINE,Kiêm soát viên/,92.15%
12,LINE,Giám dôc Dich vu Khách hàng/Truving phòng,84.55%
12,LINE,Khách hàng,93.1%
12,LINE,Truong nhóm giao,82.53%
12,LINE,"(Ky và ghi rõ ho tên, dóng dâu)",87.4%
12,LINE,(Ky và ghi rõ ho tên),93.4%
12,LINE,dich viên,98.35%
12,LINE,(Ky và ghi rõ ho tên),90.71%
12,LINE,MB01D.QF-GDTC/62,29.4%
12,LINE,12,99.61%
13,LINE,HU'ÓNG DÃN SÚ DUNG MÃU BIÊU,68.44%
13,LINE,I. HU'ÓNG DÃN CHUNG:,78.75%
13,LINE,1. Truòng hop áp dung: Mâu sô MB01D.QB-GDTC/62 duoc áp dung cho Khách hàng tô chúc mo thông qua,89.41%
13,LINE,"Chi nhánh, Văn phòng dai diên.",86.85%
13,LINE,"2. Luru ý: Truóc khi in mau dê ký kêt vói Khách hàng, phài kiêm tra lai thât ký nôi dung cua mâu biêu, làm theo",84.04%
13,LINE,"dúng chi dan tai các foot-note (nêu có) và phân huóng dan, sau dó xóa phân huóng dân.",87.88%
13,LINE,3. Huóng dãn chung:,84.21%
13,LINE,-,87.55%
13,LINE,Huóng dân Khách hàng diên thông tin tên theo Giáy chúng nhân dăng ký doanh nghiep/Quyét dinh,84.96%
13,LINE,"thành lâp, bang chû IN HOA, dánh dâu vào ô thích hop và gach chéo nhûng phân không dùng dên.",88.66%
13,LINE,-,87.91%
13,LINE,Các muc có dâu (*) là bat buôc.,86.03%
13,LINE,-,88.76%
13,LINE,"Giay dê nghi duoc lâp thành 02 (hai) bån, Khách hàng giû 01 (môt) bån và VPBank giû 01 (môt) bån.",89.66%
13,LINE,Truong hop Khách hàng có nhu câu giû nhiêu hon 01 (môt) bån thì Don vi súa dôi sô luong cho phù,87.74%
13,LINE,hop.,99.92%
13,LINE,-,88.63%
13,LINE,Giây dê nghi phåi duoc dóng dâu giáp lai toàn bô boi Khách hàng và VPBank.,84.98%
13,LINE,4. Trong quá trình vân hành mau biêu nêu có vuóng mác Don vi vui lòng liên hê vói dâu môi cua TB dê duoc hô,85.59%
13,LINE,tro.,95.93%
13,LINE,II. PHAN NOI DUNG,78.51%
13,LINE,1. Phân dành cho Khách hàng:,94.85%
13,LINE,a),99.72%
13,LINE,Phân thông tin Khách hàng: Hoàn thiên các thông tin cua Khách hàng - Chu tài khoån vào các phân dê,85.91%
13,LINE,"trông tuong úng dåm bão thông tin day dů, chính xác.",82.52%
13,LINE,Luru ý:,78.49%
13,LINE,-,87.16%
13,LINE,"Huóng dan Khách hàng diên chính xác tên tài khoån, thông tin Chu tài khoán, thông tin Chi nhánh/Văn",81.41%
13,LINE,phòng dai diên.,96.76%
13,LINE,-,86.06%
13,LINE,"Tai nôi dung Sô diên thoai, email: Huóng dan Khách hàng diên chính xác dia chi dê nhân các thông báo",90.72%
13,LINE,"cúa VPBank vê phí, lãi suât và các chính sách Dich vu tài khoan khác cua VPBank cung câp trong tùng",89.97%
13,LINE,"thòi ky. Truong hop KH chi có nhu câu dang ký sô diên thoai, email nhân thông báo cúa Chi",90.99%
13,LINE,"nhánh/Văn phòng dai diên thì huóng dan KH dang ký sô diên thoai, email nhân thông báo cúa Chi",86.62%
13,LINE,nhánh/Văn phòng dai diên.,86.13%
13,LINE,b),99.85%
13,LINE,"Phân thông tin Đai diên theo pháp luât; Giám dôc/Tručng Chi nhánh, Văn phòng dai diên; Dai diên",88.01%
13,LINE,"theo úy quyên cúa Chu tài khoån; Kê toán truông/phu trách kê toán, Nguròi duro'c йу quyên bôi Ké",75.47%
13,LINE,toán truông/phu trách kê toán và dăng ký mâu chû ký sú dung tài khoån thanh toán: Hoàn thiên các,83.74%
13,LINE,"thông tin vào các phân dê trông tuong úng dam bão thông tin dây dů, chính xác.",86.14%
13,LINE,Luru ý:,85.57%
13,LINE,-,88.78%
13,LINE,Huóng dan Khách hàng lua chon và tích chính xác vào ô lua chon.,89.66%
13,LINE,-,87.72%
13,LINE,"Dôi vói văn bån uy quyên thì cân ghi day du chính xác sô văn bån, ngày ký, nguòi uy quyên.",83.13%
13,LINE,-,87.03%
